date,time,local,field2,field3,field4,field5,target,field7,field8,field1
2023.0,5.0,1.0,41.0,14.0,22.5,27.9,97848.0,366.0,415.0,25.6
2023.0,5.0,1.0,40.9,14.5,22.5,27.9,97846.0,309.0,377.0,25.6
2023.0,5.0,1.0,40.9,14.5,22.5,27.8,97850.0,428.0,449.0,25.6
2023.0,5.0,1.0,40.9,14.25,22.5,27.3,97847.0,68.0,36.0,25.6
2023.0,5.0,1.0,41.5,14.75,22.5,27.1,97850.0,163.0,121.0,25.6
2023.0,5.0,1.0,42.7,15.0,22.5,28.0,97850.0,179.0,3447.0,25.7
2023.0,5.0,1.0,43.1,15.5,22.5,28.1,97855.0,266.0,257.0,25.9
2023.0,5.0,1.0,43.3,15.25,22.75,27.2,97853.0,314.0,360.0,26.0
2023.0,5.0,1.0,42.3,14.75,22.75,28.1,97853.0,250.0,323.0,25.9
2023.0,5.0,1.0,42.5,14.75,23.0,28.2,97857.0,265.0,319.0,26.0
2023.0,5.0,1.0,42.3,14.0,23.25,27.4,97852.0,236.0,277.0,26.0
2023.0,5.0,1.0,42.4,13.75,23.25,27.5,97859.0,197.0,206.0,26.1
2023.0,5.0,1.0,42.3,14.25,23.5,27.8,97858.0,229.0,222.0,26.0
2023.0,5.0,1.0,42.4,14.5,23.25,28.3,97859.0,322.0,331.0,26.0
2023.0,5.0,1.0,42.2,14.25,23.25,27.7,97866.0,206.0,226.0,26.0
2023.0,5.0,1.0,41.9,14.0,23.25,28.4,97859.0,183.0,163.0,26.0
2023.0,5.0,1.0,41.7,14.0,23.25,28.5,97866.0,297.0,299.0,26.0
2023.0,5.0,1.0,41.3,14.0,23.25,27.8,97864.0,351.0,428.0,25.9
2023.0,5.0,1.0,41.7,14.75,23.25,28.5,97864.0,348.0,425.0,26.0
2023.0,5.0,1.0,41.5,14.75,23.25,28.5,97858.0,345.0,430.0,26.0
2023.0,5.0,1.0,41.3,15.0,23.25,28.0,97860.0,352.0,434.0,26.0
2023.0,5.0,1.0,41.2,15.0,23.25,28.5,97865.0,399.0,468.0,26.1
2023.0,5.0,1.0,41.0,14.25,23.0,28.4,97861.0,385.0,460.0,26.1
2023.0,5.0,1.0,40.9,14.25,23.25,28.4,97866.0,230.0,215.0,26.0
2023.0,5.0,1.0,40.9,14.5,23.25,27.7,97860.0,387.0,454.0,26.1
2023.0,5.0,1.0,40.9,14.75,23.25,28.5,97864.0,502.0,480.0,26.0
2023.0,5.0,1.0,41.0,15.25,23.25,28.5,97857.0,353.0,401.0,26.1
